================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=theblue, v=1, w=0.008899654190610833, v*w=0.008899654190610833
f=skirtis, v=1, w=0.00857823860686489, v*w=0.00857823860686489
f=Thewoman, v=1, w=0.0016022881098872654, v*w=0.0016022881098872654
f=Mary, v=1, w=0, v*w=0
f=icons, v=1, w=0, v*w=0
f=boxunder, v=1, w=0, v*w=0
f=ofMary, v=1, w=0, v*w=0
f=Maryand, v=1, w=0, v*w=0
f=babyJesus, v=1, w=0, v*w=0
f=Jesus., v=1, w=0, v*w=0
f=personsleeping, v=2, w=0, v*w=0
f=boxbelow, v=2, w=0, v*w=0
f=ofreligious, v=2, w=0, v*w=0
f=religiousicons, v=2, w=0, v*w=0
f=icons., v=2, w=0, v*w=0
f=religious, v=1, w=-0.02184733786031351, v*w=-0.02184733786031351
f=under, v=1, w=-0.035314708389015285, v*w=-0.035314708389015285
f=person, v=1, w=-0.03977039741342671, v*w=-0.03977039741342671
f=a, v=4, w=-0.011701712985154124, v*w=-0.0468068519406165
f=blueskirt, v=1, w=-0.050452382809433524, v*w=-0.050452382809433524
f=woman, v=1, w=-0.051859699847804995, v*w=-0.051859699847804995
f=ona, v=3, w=-0.01745058575214073, v*w=-0.05235175725642219
f=womanin, v=1, w=-0.059237008712311065, v*w=-0.059237008712311065
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=skirt, v=1, w=-0.06413004113147626, v*w=-0.06413004113147626
f=of, v=2, w=-0.03501471429522005, v*w=-0.0700294285904401
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=sleeping, v=2, w=-0.05077035154559695, v*w=-0.1015407030911939
f=and, v=1, w=-0.11006926248016317, v*w=-0.11006926248016317
f=below, v=1, w=-0.11482015561081761, v*w=-0.11482015561081761
f=issleeping, v=1, w=-0.12542063838056372, v*w=-0.12542063838056372
f=inthe, v=1, w=-0.19193677933993739, v*w=-0.19193677933993739
f=belowa, v=2, w=-0.11022849326492656, v*w=-0.22045698652985313
f=The, v=1, w=-0.3481867942037424, v*w=-0.3481867942037424
f=apicture, v=3, w=-0.1561366023503942, v*w=-0.4684098070511826
f=pictureof, v=3, w=-0.29631797270384785, v*w=-0.8889539181115436
f=sleepingon, v=3, w=-0.3713356030585268, v*w=-1.1140068091755804
================================================================================
P: A man in a red shirt plays his guitar while looking down .
H: A man practicing a song he wrote
label=0, predicted=0, correct
f=Aman, v=3, w=0.3015943159097625, v*w=0.9047829477292875
f=down., v=1, w=0.5118606572789618, v*w=0.5118606572789618
f=manpracticing, v=2, w=0.08521414999665052, v*w=0.17042829999330103
f=down, v=1, w=0.1430680845426947, v*w=0.1430680845426947
f=red, v=1, w=0.1407803540658754, v*w=0.1407803540658754
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=whilelooking, v=1, w=0.10844823463019793, v*w=0.10844823463019793
f=., v=1, w=0.10187314115631267, v*w=0.10187314115631267
f=lookingdown, v=1, w=0.05330516951496071, v*w=0.05330516951496071
f=looking, v=1, w=0.04034963893140338, v*w=0.04034963893140338
f=shirt, v=1, w=0.027588319442865928, v*w=0.027588319442865928
f=manin, v=1, w=0.010674032570895168, v*w=0.010674032570895168
f=songhe, v=2, w=0, v*w=0
f=hewrote, v=2, w=0, v*w=0
f=redshirt, v=1, w=-0.007277988867473113, v*w=-0.007277988867473113
f=hisguitar, v=1, w=-0.015126874791785004, v*w=-0.015126874791785004
f=wrote, v=1, w=-0.015398036086958016, v*w=-0.015398036086958016
f=while, v=1, w=-0.023261112306160812, v*w=-0.023261112306160812
f=a, v=2, w=-0.011701712985154124, v*w=-0.02340342597030825
f=ina, v=1, w=-0.02836247441381286, v*w=-0.02836247441381286
f=guitarwhile, v=1, w=-0.04481546604072527, v*w=-0.04481546604072527
f=playshis, v=1, w=-0.05057295204651988, v*w=-0.05057295204651988
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=shirtplays, v=1, w=-0.0817787153663845, v*w=-0.0817787153663845
f=asong, v=2, w=-0.04347092792279973, v*w=-0.08694185584559946
f=guitar, v=1, w=-0.11432095577713329, v*w=-0.11432095577713329
f=ared, v=1, w=-0.12147235655366473, v*w=-0.12147235655366473
f=plays, v=1, w=-0.16828948867737525, v*w=-0.16828948867737525
f=song, v=1, w=-0.20013806895647523, v*w=-0.20013806895647523
f=he, v=1, w=-0.20934437518299442, v*w=-0.20934437518299442
f=man, v=2, w=-0.12614135358548834, v*w=-0.25228270717097667
f=practicinga, v=2, w=-0.1489528051706957, v*w=-0.2979056103413914
f=his, v=1, w=-0.3167251037002287, v*w=-0.3167251037002287
f=practicing, v=1, w=-0.3209164484436591, v*w=-0.3209164484436591
================================================================================
P: A busy street full of shops and people holding hands and walking .
H: Couples looking for places to shop .
label=0, predicted=0, correct
f=walking., v=1, w=0.617341412149896, v*w=0.617341412149896
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=busy, v=1, w=0.19687421581888565, v*w=0.19687421581888565
f=andwalking, v=1, w=0.17900999980866825, v*w=0.17900999980866825
f=peopleholding, v=1, w=0.08734547967079537, v*w=0.08734547967079537
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=shops, v=1, w=0.05310832632301498, v*w=0.05310832632301498
f=looking, v=1, w=0.04034963893140338, v*w=0.04034963893140338
f=people, v=1, w=0.03458208307987226, v*w=0.03458208307987226
f=Abusy, v=1, w=0, v*w=0
f=ofshops, v=1, w=0, v*w=0
f=shopsand, v=1, w=0, v*w=0
f=Coupleslooking, v=2, w=0, v*w=0
f=forplaces, v=2, w=0, v*w=0
f=placesto, v=2, w=0, v*w=0
f=toshop, v=2, w=0, v*w=0
f=hands, v=1, w=-0.001708936355135494, v*w=-0.001708936355135494
f=street, v=1, w=-0.01097340605250252, v*w=-0.01097340605250252
f=andpeople, v=1, w=-0.016734431947637112, v*w=-0.016734431947637112
f=of, v=1, w=-0.03501471429522005, v*w=-0.03501471429522005
f=full, v=1, w=-0.042914665247698366, v*w=-0.042914665247698366
f=holding, v=1, w=-0.0432483710322315, v*w=-0.0432483710322315
f=streetfull, v=1, w=-0.043984359791789183, v*w=-0.043984359791789183
f=Couples, v=1, w=-0.04471053571803624, v*w=-0.04471053571803624
f=walking, v=1, w=-0.07454392484561341, v*w=-0.07454392484561341
f=places, v=1, w=-0.0830385808771447, v*w=-0.0830385808771447
f=handsand, v=1, w=-0.12017381214210746, v*w=-0.12017381214210746
f=busystreet, v=1, w=-0.15239470145173742, v*w=-0.15239470145173742
f=shop, v=1, w=-0.2083995476762492, v*w=-0.2083995476762492
f=and, v=2, w=-0.11006926248016317, v*w=-0.22013852496032635
f=fullof, v=1, w=-0.2359840864894935, v*w=-0.2359840864894935
f=to, v=1, w=-0.36246978574793587, v*w=-0.36246978574793587
f=for, v=1, w=-0.4279834947480442, v*w=-0.4279834947480442
f=holdinghands, v=1, w=-0.4290789912393934, v*w=-0.4290789912393934
f=shop., v=2, w=-0.2325429751258867, v*w=-0.4650859502517734
f=lookingfor, v=2, w=-0.6424948829619577, v*w=-1.2849897659239153
================================================================================
P: A cabin shot of a very crowded airplane
H: The airplane is quite crowded .
label=1, predicted=0, wrong
f=airplane, v=2, w=0.20457271114325107, v*w=0.40914542228650214
f=crowded, v=2, w=0.13572625971708108, v*w=0.27145251943416215
f=Theairplane, v=2, w=0.06475472617660126, v*w=0.12950945235320252
f=., v=1, w=0.10187314115631267, v*w=0.10187314115631267
f=A, v=1, w=0.06456378224809095, v*w=0.06456378224809095
f=airplaneis, v=2, w=0.029578042705718597, v*w=0.059156085411437194
f=ofa, v=1, w=0.030120326391911135, v*w=0.030120326391911135
f=shot, v=1, w=0.020316449118899585, v*w=0.020316449118899585
f=Acabin, v=1, w=0, v*w=0
f=cabinshot, v=1, w=0, v*w=0
f=verycrowded, v=1, w=0, v*w=0
f=crowdedairplane, v=1, w=0, v*w=0
f=quitecrowded, v=2, w=0, v*w=0
f=crowded., v=2, w=-0.0010950721871308368, v*w=-0.0021901443742616735
f=a, v=1, w=-0.011701712985154124, v*w=-0.011701712985154124
f=of, v=1, w=-0.03501471429522005, v*w=-0.03501471429522005
f=shotof, v=1, w=-0.035467320410656006, v*w=-0.035467320410656006
f=quite, v=1, w=-0.03634426393684761, v*w=-0.03634426393684761
f=avery, v=1, w=-0.07434594152921309, v*w=-0.07434594152921309
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=cabin, v=1, w=-0.12507138755368863, v*w=-0.12507138755368863
f=isquite, v=2, w=-0.07268852787369522, v*w=-0.14537705574739043
f=very, v=1, w=-0.3158339077413431, v*w=-0.3158339077413431
f=The, v=1, w=-0.3481867942037424, v*w=-0.3481867942037424
================================================================================
P: A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by .
H: A bicyclist passes an esthetically beautiful building on a sunny day
label=1, predicted=0, wrong
f=beautiful, v=2, w=0.26596983615043385, v*w=0.5319396723008677
f=stands, v=1, w=0.13287343339107466, v*w=0.13287343339107466
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=., v=1, w=0.10187314115631267, v*w=0.10187314115631267
f=abike, v=1, w=0.10140592450835785, v*w=0.10140592450835785
f=on, v=2, w=0.03874305830186252, v*w=0.07748611660372504
f=passesby, v=1, w=0.07213566704810734, v*w=0.07213566704810734
f=Abuilding, v=1, w=0.03250887907049131, v*w=0.03250887907049131
f=by, v=1, w=0.029866490632082722, v*w=0.029866490632082722
f=as, v=1, w=0.018693130192223305, v*w=0.018693130192223305
f=thesunlight, v=1, w=0.011411296537733259, v*w=0.011411296537733259
f=portrays, v=1, w=0, v*w=0
f=esthetically, v=1, w=0, v*w=0
f=buildingthat, v=1, w=0, v*w=0
f=thatportrays, v=1, w=0, v*w=0
f=portraysbeautiful, v=1, w=0, v*w=0
f=beautifularchitecture, v=1, w=0, v*w=0
f=architecturestands, v=1, w=0, v*w=0
f=sunlightas, v=1, w=0, v*w=0
f=assomebody, v=1, w=0, v*w=0
f=somebodyon, v=1, w=0, v*w=0
f=bikepasses, v=1, w=0, v*w=0
f=bicyclistpasses, v=2, w=0, v*w=0
f=passesan, v=2, w=0, v*w=0
f=anesthetically, v=2, w=0, v*w=0
f=estheticallybeautiful, v=2, w=0, v*w=0
f=beautifulbuilding, v=2, w=0, v*w=0
f=day, v=1, w=-0.008430741536021788, v*w=-0.008430741536021788
f=sunny, v=1, w=-0.016211082358116552, v*w=-0.016211082358116552
f=a, v=2, w=-0.011701712985154124, v*w=-0.02340342597030825
f=architecture, v=1, w=-0.029011590373809515, v*w=-0.029011590373809515
f=an, v=1, w=-0.02926836810441059, v*w=-0.02926836810441059
f=sunlight, v=1, w=-0.030706099553630885, v*w=-0.030706099553630885
f=bike, v=1, w=-0.04304762152633949, v*w=-0.04304762152633949
f=bicyclist, v=1, w=-0.04496254176002086, v*w=-0.04496254176002086
f=ona, v=3, w=-0.01745058575214073, v*w=-0.05235175725642219
f=somebody, v=1, w=-0.05488980252914888, v*w=-0.05488980252914888
f=in, v=1, w=-0.06074218361209953, v*w=-0.06074218361209953
f=by., v=1, w=-0.06425672288494119, v*w=-0.06425672288494119
f=buildingon, v=2, w=-0.047667102632773524, v*w=-0.09533420526554705
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=inthe, v=1, w=-0.19193677933993739, v*w=-0.19193677933993739
f=sunnyday, v=2, w=-0.1012441001159385, v*w=-0.202488200231877
f=Abicyclist, v=2, w=-0.11958779104243743, v*w=-0.23917558208487485
f=standsin, v=1, w=-0.2468751188270407, v*w=-0.2468751188270407
f=passes, v=2, w=-0.13953418104500948, v*w=-0.27906836209001895
f=that, v=1, w=-0.3145462757664747, v*w=-0.3145462757664747
f=asunny, v=2, w=-0.27289786160324525, v*w=-0.5457957232064905
f=building, v=2, w=-0.30468701073787857, v*w=-0.6093740214757571
================================================================================
P: A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling .
H: A woman with red-hair and wearing a black tank top screams at her son who is crossing the road without looking both ways .
label=0, predicted=1, wrong
f=Awoman, v=3, w=0.20751142896233452, v*w=0.6225342868870035
f=theroad, v=2, w=0.2669662312301249, v*w=0.5339324624602498
f=wearinga, v=3, w=0.1332806262808893, v*w=0.39984187884266786
f=black, v=2, w=0.17528668409609616, v*w=0.3505733681921923
f=crossingthe, v=2, w=0.16588350920674422, v*w=0.33176701841348843
f=ather, v=2, w=0.1641611441383096, v*w=0.3283222882766192
f=top, v=2, w=0.13167081592626334, v*w=0.2633416318525267
f=blacktank, v=3, w=0.06985574049640131, v*w=0.20956722148920393
f=at, v=1, w=0.20611288115700632, v*w=0.20611288115700632
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=be, v=1, w=0.17853655782639807, v*w=0.17853655782639807
f=topand, v=1, w=0.13471229286335457, v*w=0.13471229286335457
f=short, v=1, w=0.1309005195088971, v*w=0.1309005195088971
f=A, v=2, w=0.06456378224809095, v*w=0.1291275644961819
f=iscrossing, v=2, w=0.05850907626451612, v*w=0.11701815252903223
f=red-hair, v=2, w=0.052519123036813026, v*w=0.10503824607362605
f=red-hairand, v=3, w=0.034088788585339994, v*w=0.10226636575601998
f=appears, v=1, w=0.07355743131530258, v*w=0.07355743131530258
f=jeans, v=1, w=0.0712452247448799, v*w=0.0712452247448799
f=withred-hair, v=3, w=0.0236408525651654, v*w=0.0709225576954962
f=appearsto, v=1, w=0.0684814629724852, v*w=0.0684814629724852
f=yelling, v=1, w=0.04251763528574192, v*w=0.04251763528574192
f=looking, v=1, w=0.04034963893140338, v*w=0.04034963893140338
f=yelling., v=1, w=0.011974799107110216, v*w=0.011974799107110216
f=crossing, v=1, w=0.010624748246591095, v*w=0.010624748246591095
f=andshort, v=1, w=0.004216079502509658, v*w=0.004216079502509658
f=ways, v=1, w=0, v*w=0
f=shortjeans, v=1, w=0, v*w=0
f=jeansshorts, v=1, w=0, v*w=0
f=shortsappears, v=1, w=0, v*w=0
f=beyelling, v=1, w=0, v*w=0
f=topscreams, v=2, w=0, v*w=0
f=screamsat, v=2, w=0, v*w=0
f=sonwho, v=2, w=0, v*w=0
f=roadwithout, v=2, w=0, v*w=0
f=withoutlooking, v=2, w=0, v*w=0
f=lookingboth, v=2, w=0, v*w=0
f=bothways, v=2, w=0, v*w=0
f=ways., v=2, w=0, v*w=0
f=who, v=1, w=-0.009084428618634488, v*w=-0.009084428618634488
f=with, v=2, w=-0.006383332049242026, v*w=-0.012766664098484051
f=a, v=2, w=-0.011701712985154124, v*w=-0.02340342597030825
f=screams, v=1, w=-0.040404264481849604, v*w=-0.040404264481849604
f=tobe, v=1, w=-0.063558649725287, v*w=-0.063558649725287
f=both, v=1, w=-0.06600204531919948, v*w=-0.06600204531919948
f=is, v=1, w=-0.08022818723333007, v*w=-0.08022818723333007
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=whois, v=2, w=-0.04909271045231382, v*w=-0.09818542090462765
f=woman, v=2, w=-0.051859699847804995, v*w=-0.10371939969560999
f=her, v=1, w=-0.17168634507104907, v*w=-0.17168634507104907
f=without, v=1, w=-0.17185069123784932, v*w=-0.17185069123784932
f=womanwith, v=3, w=-0.06190626714819876, v*w=-0.1857188014445963
f=wearing, v=2, w=-0.09904468457939075, v*w=-0.1980893691587815
f=road, v=1, w=-0.1982838131118813, v*w=-0.1982838131118813
f=son, v=1, w=-0.2082154561954579, v*w=-0.2082154561954579
f=andwearing, v=3, w=-0.07651685991778331, v*w=-0.22955057975334994
f=shorts, v=1, w=-0.26160256366681484, v*w=-0.26160256366681484
f=tanktop, v=3, w=-0.09790262872335152, v*w=-0.29370788617005456
f=and, v=3, w=-0.11006926248016317, v*w=-0.3302077874404895
f=tank, v=2, w=-0.17485950054651597, v*w=-0.34971900109303194
f=to, v=1, w=-0.36246978574793587, v*w=-0.36246978574793587
f=ablack, v=3, w=-0.14763326133813656, v*w=-0.44289978401440966
f=herson, v=2, w=-0.2712136453145513, v*w=-0.5424272906291026
================================================================================
P: Two men sitting on a subway are reading , with coats and scarves on , but have seemed to have lost their pants .
H: There are people on the subway .
label=1, predicted=1, correct
f=Thereare, v=2, w=0.6610608672568401, v*w=1.3221217345136802
f=There, v=1, w=0.37480092636844625, v*w=0.37480092636844625
f=arepeople, v=2, w=0.11068390364042573, v*w=0.22136780728085145
f=asubway, v=1, w=0.21974489348082182, v*w=0.21974489348082182
f=., v=2, w=0.10187314115631267, v*w=0.20374628231262534
f=arereading, v=1, w=0.16182156552968013, v*w=0.16182156552968013
f=subway, v=2, w=0.0730611083848184, v*w=0.1461222167696368
f=scarves, v=1, w=0.13405693309536382, v*w=0.13405693309536382
f=tohave, v=1, w=0.12993485536762478, v*w=0.12993485536762478
f=on, v=3, w=0.03874305830186252, v*w=0.11622917490558755
f=Twomen, v=1, w=0.11115270354877375, v*w=0.11115270354877375
f=coats, v=1, w=0.09420721865784283, v*w=0.09420721865784283
f=pants, v=1, w=0.08371371970051189, v*w=0.08371371970051189
f=coatsand, v=1, w=0.0752724920339291, v*w=0.0752724920339291
f=on,, v=1, w=0.06823707289256335, v*w=0.06823707289256335
f=andscarves, v=1, w=0.06657911596484493, v*w=0.06657911596484493
f=sitting, v=1, w=0.06163683019521975, v*w=0.06163683019521975
f=peopleon, v=2, w=0.030263884224265784, v*w=0.06052776844853157
f=reading,, v=1, w=0.058098842170954956, v*w=0.058098842170954956
f=subway., v=2, w=0.027120699473871628, v*w=0.054241398947743255
f=people, v=1, w=0.03458208307987226, v*w=0.03458208307987226
f=Two, v=1, w=0.02848858642827832, v*w=0.02848858642827832
f=scarveson, v=1, w=0.0006818958712166379, v*w=0.0006818958712166379
f=withcoats, v=1, w=0, v*w=0
f=buthave, v=1, w=0, v*w=0
f=haveseemed, v=1, w=0, v*w=0
f=seemedto, v=1, w=0, v*w=0
f=havelost, v=1, w=0, v*w=0
f=losttheir, v=1, w=0, v*w=0
f=theirpants, v=1, w=0, v*w=0
f=with, v=1, w=-0.006383332049242026, v*w=-0.006383332049242026
f=onthe, v=2, w=-0.005794763800904109, v*w=-0.011589527601808218
f=a, v=1, w=-0.011701712985154124, v*w=-0.011701712985154124
f=have, v=2, w=-0.008276727428017636, v*w=-0.016553454856035273
f=ona, v=1, w=-0.01745058575214073, v*w=-0.01745058575214073
f=pants., v=1, w=-0.026726291320290765, v*w=-0.026726291320290765
f=seemed, v=1, w=-0.030720604764380086, v*w=-0.030720604764380086
f=mensitting, v=1, w=-0.03593514158114832, v*w=-0.03593514158114832
f=,with, v=1, w=-0.046931842796032644, v*w=-0.046931842796032644
f=their, v=1, w=-0.04873082102781623, v*w=-0.04873082102781623
f=men, v=1, w=-0.05285530959913151, v*w=-0.05285530959913151
f=subwayare, v=1, w=-0.058908302578725265, v*w=-0.058908302578725265
f=,, v=2, w=-0.030906925089610418, v*w=-0.061813850179220836
f=but, v=1, w=-0.08070790670652787, v*w=-0.08070790670652787
f=the, v=1, w=-0.09770075227601209, v*w=-0.09770075227601209
f=,but, v=1, w=-0.09910496207051611, v*w=-0.09910496207051611
f=and, v=1, w=-0.11006926248016317, v*w=-0.11006926248016317
f=reading, v=1, w=-0.12244275566686902, v*w=-0.12244275566686902
f=lost, v=1, w=-0.19106714115229143, v*w=-0.19106714115229143
f=sittingon, v=1, w=-0.25360056431973144, v*w=-0.25360056431973144
f=to, v=1, w=-0.36246978574793587, v*w=-0.36246978574793587
f=thesubway, v=2, w=-0.24335072374308428, v*w=-0.48670144748616856
f=are, v=2, w=-0.31831758180956937, v*w=-0.6366351636191387
================================================================================
P: Two Asian women wear sandals , long silk robes and hold umbrellas .
H: Women in Japan take shelter from the rain
label=0, predicted=0, correct
f=Women, v=1, w=0.29273950129809984, v*w=0.29273950129809984
f=umbrellas, v=1, w=0.22819797804601272, v*w=0.22819797804601272
f=inJapan, v=2, w=0.07178249529991752, v*w=0.14356499059983505
f=Womenin, v=2, w=0.0665541378580567, v*w=0.1331082757161134
f=., v=1, w=0.10187314115631267, v*w=0.10187314115631267
